Record ID,First Name,Last Name,Updated by user ID,Currently in Sequence,Latest Traffic Source Drill-Down 1,Original Traffic Source Drill-Down 1,Latest Traffic Source Drill-Down 2,Original Traffic Source Drill-Down 2,Seniority,Employment Seniority,Legal basis for processing contact's data,Persona,HubSpot Score,Campaign of last booking in meetings tool,First Touch Converting Campaign,Last Touch Converting Campaign,Field of study,Number of Sessions,Job Title,School,City,IP City,IP State Code/Region Code,State/Region Code,IP Country Code,Country/Region Code,Postal Code,Inferred Language Codes,Contact unworked,Recent Conversion,Email,Email Confirmed,Member email,Work email,Marketing emails opened,Marketing emails clicked,Marketing emails delivered,Marketing emails bounced,Marketing emails replied,Quarantined Emails,Created by user ID,Cuenta de LinkedIn,Description of first engagement,Record source detail 1,Record source detail 2,Record source detail 3,Days To Close,Street Address,Email Address Quarantined,Invalid email address,Domain to which registration email was sent,Email Domain,Member has accessed private content,Sends Since Last Engagement,HubSpot Team,Status,Marital Status,Marketing email confirmation status,Lead Status,State/Region,IP State/Region,Lifecycle Stage,Enrichment opt out,Owner assigned date,Close Date,Recent Deal Close Date,First Order Closed Date,Create Date,First Deal Created Date,Date entered Customer (Lifecycle Stage Pipeline),Date entered Evangelist (Lifecycle Stage Pipeline),Date entered Lead (Lifecycle Stage Pipeline),Date entered Marketing Qualified Lead (Lifecycle Stage Pipeline),Date entered Opportunity (Lifecycle Stage Pipeline),Date entered Sales Qualified Lead (Lifecycle Stage Pipeline),Date entered Other (Lifecycle Stage Pipeline),Date entered Subscriber (Lifecycle Stage Pipeline),Last sequence ended date,Graduation date,Start date,Last sequence enrolled date,Recent Sales Email Opened Date,Recent Conversion Date,Latest Traffic Source Date,First marketing email open date,First Conversion Date,Date of first engagement,First marketing email reply date,Recent Sales Email Replied Date,Next Activity Date,Last marketing email open date,Last Engagement Date,Last marketing email reply date,Date of last meeting booked in meetings tool,Latest Open Lead Date,Latest Qualified Lead Date,Latest Disqualified Lead Date,Date of birth,Recent Closed Order Date,First marketing email click date,Time First Seen,Date exited Customer (Lifecycle Stage Pipeline),Date exited Evangelist (Lifecycle Stage Pipeline),Date exited Lead (Lifecycle Stage Pipeline),Date exited Marketing Qualified Lead (Lifecycle Stage Pipeline),Date exited Sales Qualified Lead (Lifecycle Stage Pipeline),Date exited Opportunity (Lifecycle Stage Pipeline),Date exited Other (Lifecycle Stage Pipeline),Date exited Subscriber (Lifecycle Stage Pipeline),Recent Sales Email Clicked Date,First marketing email send date,Membership last private content access date,Last marketing email click date,Last marketing email send date,Time registration email was sent,Source of last booking in meetings tool,Latest Traffic Source,Record source,Original Traffic Source,Employment Role,Job function,Employment Sub Role,Gender,Time of First Session,Facebook click id,Google ad click id,Merged Contact IDs,ID of first engagement,First Closed Order ID,Preferred language,Annual Revenue,Event Revenue,Total Revenue,Enrichment opt out timestamp,Medium of last booking in meetings tool,Message,Registration Method,Registered member,Email address automated quarantine reason,Email address quarantine reason,Email hard bounce reason,Company Name,Twitter Username,Last marketing email name,Membership Notes,Number of Sales Activities,Number of Form Submissions,Fax Number,Number of event completions,Number of Unique Forms Submitted,Mobile Phone Number,Number of Associated Deals,Number of sequences enrolled,Phone Number,WhatsApp Phone Number,Number of times contacted,Number of Pageviews,Prospecting Agent Total Enrolled Count,Opted out of email: Marketing Information,Opted out of email: One to One,IP Country,Country/Region,First Referring Site,First Conversion,First Page Seen,Average Pageviews,Contact owner,Registered At,Buying Role,Salutation,Has been enriched,Industry,Intent Signals active,Military status,Relationship Status,Unsubscribed from all email,Company size,Number of Employees,Lead response time (HH:mm:ss),Time enrolled in registration follow up emails,Type of first engagement,Degree,Last Activity Date,Prospecting Agent Last Enrolled,Last Modified Date,Last Page Seen,Last sequence enrolled,Time of Last Session,Time Last Seen,Last Contacted,Last Referring Site,LinkedIn URL,Website URL,Recent Deal Amount,Time Zone,IP Timezone
1.83686E+11,Ivan,Molina,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,CX Specialist,,,,,,,,,,true,,ivan@novacx.io,,,,,,,,,,Rafa RTS,,,,,,,,,,,novacx.io,0,,,,,,,,,Lead,,10/12/2025 11:46,,,,10/12/2025 11:46,,,,10/12/2025 11:46,,,,,,,,,,,,10/12/2025 11:46,,,,,,,,,,,,,,,,,10/12/2025 11:46,,,,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 11:47,,,,,,,,,,,
1.83686E+11,Natalia,Rivas,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Customer Success Lead,,,,,,,,,,true,,natalia@novacx.io,,,,,,,,,,Rafa RTS,,,,,,1,,,,,novacx.io,0,,,,,,,,,Customer,,10/12/2025 11:45,10/12/2025 13:22,27/11/2025 13:22,,10/12/2025 11:45,10/12/2025 13:22,10/12/2025 13:22,,10/12/2025 11:45,,,,,,,,,,,,10/12/2025 11:45,,,,,,,,,,,,,,,,,10/12/2025 11:45,,,10/12/2025 13:22,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,15000,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:25,,,,,,,,,15000,,
1.83575E+11,Bruno,Costa,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,FP&A Analyst,,,,,,,,,,true,,bruno@blueoceanfintech.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,blueoceanfintech.com,0,,,,,,,,,Opportunity,,10/12/2025 11:44,,,,10/12/2025 11:44,10/12/2025 13:19,,,10/12/2025 11:44,,10/12/2025 13:19,,,,,,,,,,10/12/2025 11:44,,,,,,,,,,,,,,,,,10/12/2025 11:44,,,10/12/2025 13:19,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:20,,,,,,,,,,,
1.83686E+11,Paula,Santos,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Finance Director,,,,,,,,,,true,,paula@blueoceanfintech.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,blueoceanfintech.com,0,,,,,,,,,Opportunity,,10/12/2025 11:43,,,,10/12/2025 11:43,10/12/2025 13:18,,,10/12/2025 11:43,,10/12/2025 13:18,,,,,,,,,,10/12/2025 11:43,,,,,,,,,,,,,,,,,10/12/2025 11:43,,,10/12/2025 13:18,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:19,,,,,,,,,,,
1.83766E+11,Luis,Paredes,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,People Ops Lead,,,,,,,,,,true,,luis@atlashr.app,,,,,,,,,,Rafa RTS,,,,,,,,,,,atlashr.app,0,,,,,,,,,Lead,,10/12/2025 11:42,,,,10/12/2025 11:42,,,,10/12/2025 11:42,,,,,,,,,,,,10/12/2025 11:42,,,,,,,,,,,,,,,,,10/12/2025 11:42,,,,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 11:42,,,,,,,,,,,
1.83766E+11,Ana,Herrera,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,HR Manager,,,,,,,,,,true,,ana@atlashr.app,,,,,,,,,,Rafa RTS,,,,,,1,,,,,atlashr.app,0,,,,,,,,,Customer,,10/12/2025 11:41,10/12/2025 13:17,02/11/2025 13:17,,10/12/2025 11:41,10/12/2025 13:17,10/12/2025 13:17,,10/12/2025 11:41,,,,,,,,,,,,10/12/2025 11:41,,,,,,,,,,,,,,,,,10/12/2025 11:41,,,10/12/2025 13:17,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,12000,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:18,,,,,,,,,12000,,
1.83764E+11,Jorge,Prieto,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,DevSecOps Engineer,,,,,,,,,,true,,jorge@vertexsecurity.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,vertexsecurity.com,0,,,,,,,,,Lead,,10/12/2025 11:39,,,,10/12/2025 11:39,,,,10/12/2025 11:39,,,,,,,,,,,,10/12/2025 11:39,,,,,,,,,,,,,,,,,10/12/2025 11:39,,,,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 11:39,,,,,,,,,,,
1.83444E+11,Elena,Torres,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Security Lead,,,,,,,,,,true,,elena@vertexsecurity.com,,,,,,,,,,Rafa RTS,,,,,,1,,,,,vertexsecurity.com,0,,,,,,,,,Customer,,10/12/2025 11:38,10/12/2025 13:12,20/11/2025 13:11,,10/12/2025 11:38,10/12/2025 13:12,10/12/2025 13:12,,10/12/2025 11:38,,,,,,,,,,,,10/12/2025 11:38,,,,,,,,,,,,,,,,,10/12/2025 11:38,,,10/12/2025 13:12,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,28000,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:13,,,,,,,,,28000,,
1.83686E+11,Tom,Silva,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Growth Manager,,,,,,,,,,true,,tom@northwindmetrics.co,,,,,,,,,,Rafa RTS,,,,,,1,,,,,northwindmetrics.co,0,,,,,,,,,Customer,,10/12/2025 11:37,10/12/2025 13:06,25/11/2025 13:06,,10/12/2025 11:37,10/12/2025 13:06,10/12/2025 13:06,,10/12/2025 11:37,,,,,,,,,,,,10/12/2025 11:37,,,,,,,,,,,,,,,,,10/12/2025 11:37,,,10/12/2025 13:06,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,30000,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:07,,,,,,,,,30000,,
1.83686E+11,Sarah,Nguyen,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Marketing Director,,,,,,,,,,true,,sarah@northwindmetrics.co,,,,,,,,,,Rafa RTS,,,,,,,,,,,northwindmetrics.co,0,,,,,,,,,Opportunity,,10/12/2025 11:36,,,,10/12/2025 11:36,10/12/2025 13:05,,,10/12/2025 11:36,,10/12/2025 13:05,,,,,,,,,,10/12/2025 11:36,,,,,,,,,,,,,,,,,10/12/2025 11:36,,,10/12/2025 13:05,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 13:05,,,,,,,,,,,
1.83766E+11,Diego,Ruiz,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Cloud Architect,,,,,,,,,,true,,diego@gloxcloud.io,,,,,,,,,,Rafa RTS,,,,,,,,,,,gloxcloud.io,0,,,,,,,,,Opportunity,,10/12/2025 11:35,,,,10/12/2025 11:35,10/12/2025 12:24,,,10/12/2025 11:35,,10/12/2025 12:24,,,,,,,,,,10/12/2025 11:35,,,,,,,,,,,,,,,,,10/12/2025 11:35,,,10/12/2025 12:24,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 12:26,,,,,,,,,,,
1.83766E+11,Carla,Gómez,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,CTO,,,,,,,,,,true,,carla@globexcloud.io,,,,,,,,,,Rafa RTS,,,,,,,,,,,globexcloud.io,0,,,,,,,,,Opportunity,,10/12/2025 11:34,,,,10/12/2025 11:34,10/12/2025 12:21,,,10/12/2025 11:34,,10/12/2025 12:21,,,,,,,,,,10/12/2025 11:34,,,,,,,,,,,,,,,,,10/12/2025 11:34,,,10/12/2025 12:21,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 12:25,,,,,,,,,,,
1.83772E+11,Mark,Lee,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Data Engineer,,,,,,,,,,true,,mark@acmeanalytics.com,,,,,,,,,,Rafa RTS,,,,,,,,,,,acmeanalytics.com,0,,,,,,,,,Opportunity,,10/12/2025 11:33,,,,10/12/2025 11:33,10/12/2025 12:20,,,10/12/2025 11:33,,10/12/2025 12:20,,,,,,,,,,10/12/2025 11:33,,,,,,,,,,,,,,,,,10/12/2025 11:33,,,10/12/2025 12:20,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 12:23,,,,,,,,,,,
1.83772E+11,Alice,Johnson,Rafa RTS,,CRM_UI,CRM_UI,Rafa RTS,Rafa RTS,,,,,,,,,,0,Head of Data,,,,,,,,,,true,,alice@acmeanalytics.com,,,,,,,,,,Rafa RTS,,,,,,1,,,,,acmeanalytics.com,0,,,,,,,,,Customer,,10/12/2025 11:32,10/12/2025 12:14,17/11/2025 12:04,,10/12/2025 11:32,10/12/2025 12:14,10/12/2025 12:14,,10/12/2025 11:32,,,,,,,,,,,,10/12/2025 11:32,,,,,,,,,,,,,,,,,10/12/2025 11:32,,,10/12/2025 12:14,,,,,,,,,,,,,Offline Sources,CRM UI,Offline Sources,,,,,,,,,,,,,0,24000,,,,,0,,,,,,,,0,0,,0,0,,1,,,,,0,0,,,,,,,,0,Rafa RTS,,,,,,,,,,,,,,,,,,10/12/2025 12:15,,,,,,,,,24000,,
